purchaser_name,matched_cin,matched_company_name,match_score,match_type
APARNA FARMS AND ESTATES LLP,U01100AS2022PTC023084,INTELIQO FARMS AND ESTATES PRIVATE LIMITED,0.6,bond_purchaser_to_company
S K SUPPLY CHAIN SOLUTIONS,U52241AS2023PTC025196,OSSS SUPPLY CHAIN SOLUTIONS PRIVATE LIMITED,0.75,bond_purchaser_to_company
S K SUPPLY CHAIN SOLUTIONS,U74999AS2020PTC019820,SALT RANGE SUPPLY CHAIN SOLUTIONS PRIVATE LIMITED,0.6,bond_purchaser_to_company
RAJ KAMAL DRUGS,U51909AS1983PLC002017,RAJ KAMAL LTD,0.6667,bond_purchaser_to_company
R N CONSTRUCTIONS,U45203AS1983PTC002024,D N CONSTRUCTIONS PVT LTD,1.0,bond_purchaser_to_company
R N CONSTRUCTIONS,U45400AS2012PTC010876,S. C. CONSTRUCTIONS PRIVATE LIMITED,1.0,bond_purchaser_to_company
R N CONSTRUCTIONS,U45201AS1988PTC003035,G K CONSTRUCTIONS PVT LTD,1.0,bond_purchaser_to_company
R N CONSTRUCTIONS,U46639AS2023OPC025134,M.A.B.S CONSTRUCTIONS (OPC) PRIVATE LIMITED,1.0,bond_purchaser_to_company
R N CONSTRUCTIONS,U45201AS2011PTC010822,K & R CONSTRUCTIONS PRIVATE LIMITED,1.0,bond_purchaser_to_company
K K RESOURCES PRIVATE LIMITED,U45309AS1988PTC003046,G R RESOURCES PVT LTD,1.0,bond_purchaser_to_company
BIOLOGICAL E LIMITED,U46497AS2024OPC026858,S S BIOLOGICAL (OPC) PRIVATE LIMITED,1.0,bond_purchaser_to_company
B M A MERCHANDISE LLP,U25200AS2016PTC012376,P. R. MERCHANDISE PRIVATE LIMITED,1.0,bond_purchaser_to_company
LIFELINE MARKETING PRIVATE LIMITED,U52590AS2010PTC009592,ENHANCED LIFELINE MARKETING PRIVATE LIMITED,0.6667,bond_purchaser_to_company
LIFELINE MARKETING PRIVATE LIMITED,U51109AS2007PTC008298,MAJESTY LIFELINE MARKETING PRIVATE LIMITED,0.6667,bond_purchaser_to_company
RENUKA INVESTMENTS AND FINANCE LTD,U65929AS1986PTC002604,BRAHMAPUTRA FINANCE AND INVESTMENTS PVT LTD,0.6,bond_purchaser_to_company
RENUKA INVESTMENTS AND FINANCE LTD,U67120AS1995PTC004554,SHREY FINANCE AND INVESTMENTS PVT LTD,0.6,bond_purchaser_to_company
RITESH REAL ESTATES PVT LTD,U70101AS2011PTC010494,A A D REAL ESTATES PRIVATE LIMITED,0.6667,bond_purchaser_to_company
RITESH REAL ESTATES PVT LTD,U01100AS2022PTC022710,P.D.H. REAL ESTATES PRIVATE LIMITED,0.6667,bond_purchaser_to_company
RITESH REAL ESTATES PVT LTD,U70100AS2011PTC010403,K. B. REAL ESTATES PRIVATE LIMITED,0.6667,bond_purchaser_to_company
PREMIER PLASTIC INDUSTRIES,U25209AS2013PTC011428,P.P.PLASTIC & INDUSTRIES PRIVATE LIMITED,0.6667,bond_purchaser_to_company
PREMIER PLASTIC INDUSTRIES,U22203AS2024PLC026885,P.D.B.P. PLASTIC INDUSTRIES LIMITED,0.6667,bond_purchaser_to_company
