entity_id,entity_name,entity_type,source
U24232AS1990PTC003425,NITA DRUGS AND PHARMACEUTICALS PVT LTD,COMPANY,companies_registry
U24232AS1991PTC003580,RAGINI MOTORS PRIVATE LIMITED,COMPANY,companies_registry
U24232AS2012PTC011066,SALVEO PRODUCTS PRIVATE LIMITED,COMPANY,companies_registry
U24241AS2001PTC006445,JANATA LABORATORIES & MARKETING PRIVATE LIMITED,COMPANY,companies_registry
U24246AS2021PTC021437,BERRYGENICS PRIVATE LIMITED,COMPANY,companies_registry
U51909AS2010PTC009692,AMAZE ENTRADE PRIVATE LIMITED,COMPANY,companies_registry
U51909AS2010PTC009707,AL-SHAHI MARKETING PRIVATE LIMITED,COMPANY,companies_registry
U51909AS2010PTC009769,AASHA ASOM MARKETING PRIVATE LIMITED,COMPANY,companies_registry
U51909AS2018PTC018325,SUMANI WHOLESELLERS PRIVATE LIMITED,COMPANY,companies_registry
U51909AS2020PTC020557,AKSACARE LIFE SCIENCES PRIVATE LIMITED,COMPANY,companies_registry
U51909AS2021PTC021034,MULTI GROW MEDIA PRIVATE LIMITED,COMPANY,companies_registry
U51909AS2021PTC022194,ZYGOTUS PRIVATE LIMITED,COMPANY,companies_registry
U51909AS2022PTC022911,HBBS HEALTHCARE PRIVATE LIMITED,COMPANY,companies_registry
U51909AS2022PTC023661,DALTON LABORATORIES PRIVATE LIMITED,COMPANY,companies_registry
U51909AS2022PTC024072,SKINNAD PRIVATE LIMITED,COMPANY,companies_registry
U70101AS1994PTC004155,PRAGJYOTISH HOUSING PRIVATE LIMITED,COMPANY,companies_registry
U70101AS1997PTC005089,SWETA PROPERTIES PVT LTD,COMPANY,companies_registry
U70101AS1998PTC005325,KAMRUP DEVELOPERS PVT LTD,COMPANY,companies_registry
U70101AS2000PTC006343,SAILAJA COMMERCIAL PRIVATE LIMITED,COMPANY,companies_registry
U70101AS2004PTC007491,MANIKYA CONSTRUCTIONS PRIVATE LIMITED,COMPANY,companies_registry
U70101AS2004PTC007550,AVANT- GARDE BUILDERS & CARRIERS PRIVATE LIMITED,COMPANY,companies_registry
U70101AS2004PTC007591,KIRAN ENCLAVE PRIVATE LIMITED,COMPANY,companies_registry
U70101AS2008PTC008601,HIMALAYAN INFRACON PRIVATE LIMITED,COMPANY,companies_registry
U70101AS2010PTC010187,ABG INFRATECH PRIVATE LIMITED,COMPANY,companies_registry
U70101AS2011PTC010470,SANJIB DEVELOPERS PRIVATE LIMITED,COMPANY,companies_registry
U70101AS2011PTC010806,BRAHMAPUTRA REAL ESTATE & ENCLAVE PRIVATE LIMITED,COMPANY,companies_registry
U70101AS2012PTC011078,HEMASHRI DEVELOPERS PRIVATE LIMITED,COMPANY,companies_registry
U70102AS2013PTC011570,RISING EAST DEVELOPERS PRIVATE LIMITED,COMPANY,companies_registry
